year,region,species_code,sex,sex_desc,iss,nss,nhl
1996,egoa,10200,12,female_male,15.562467409136062,69,19
1996,egoa,20510,0,total_pre,60.10992288604254,406,62
1996,egoa,20510,1,male,25.857316818923138,184,52
1996,egoa,20510,2,female,48.497320375849725,222,52
1996,egoa,20510,4,total_post,53.3755667038238,406,62
1996,egoa,20510,12,female_male,73.80779897277516,406,62
1996,egoa,21740,0,total_pre,10.080612264508185,182,23
1996,egoa,21740,1,male,5.420593895124439,92,23
1996,egoa,21740,2,female,11.265042491013775,90,20
1996,egoa,21740,4,total_post,9.512102432483012,182,23
1996,egoa,21740,12,female_male,16.2531400964533,182,23
1996,egoa,30050,0,total_pre,29.755205296609343,219,7
1996,egoa,30050,1,male,20.16992757932439,116,7
1996,egoa,30050,2,female,16.68235521196453,103,7
1996,egoa,30050,4,total_post,30.150200891257544,219,7
1996,egoa,30050,12,female_male,38.15411834938316,219,7
1996,egoa,30060,0,total_pre,40.80812877181621,316,6
1996,egoa,30060,1,male,24.00235722327797,139,6
1996,egoa,30060,2,female,31.05863555454474,177,6
1996,egoa,30060,4,total_post,37.938599495809356,316,6
1996,egoa,30060,12,female_male,56.737340884400915,316,6
1996,egoa,30152,0,total_pre,40.173002448482265,152,19
1996,egoa,30152,1,male,17.170883443332787,75,16
1996,egoa,30152,2,female,21.035297977302395,77,11
1996,egoa,30152,4,total_post,36.66670813073131,152,19
1996,egoa,30152,12,female_male,37.93976169629702,152,19
1996,egoa,30420,0,total_pre,1.6966345375375136,10,3
1996,egoa,30420,1,male,1.0209576787156367,6,2
1996,egoa,30420,2,female,1.0293340734091598,4,2
1996,egoa,30420,4,total_post,1.6368057222443027,10,3
1996,egoa,30420,12,female_male,1.5555980549829227,10,3
1996,goa,10110,0,total_pre,348.85696040033434,691,61
1996,goa,10110,1,male,139.85438700638898,257,42
1996,goa,10110,2,female,189.82111243880024,434,59
1996,goa,10110,4,total_post,145.20752534678107,691,61
1996,goa,10110,12,female_male,307.820625699297,691,61
1996,goa,10130,0,total_pre,234.15751319715497,528,55
1996,goa,10130,1,male,93.53191830229275,243,41
1996,goa,10130,2,female,130.51623527196185,285,48
1996,goa,10130,4,total_post,98.04247141707536,528,55
1996,goa,10130,12,female_male,222.08514743128632,528,55
1996,goa,10180,0,total_pre,155.48866564337294,383,66
1996,goa,10180,1,male,71.93803155396779,170,49
1996,goa,10180,2,female,85.53135932954595,213,55
1996,goa,10180,4,total_post,67.53761612599361,383,66
1996,goa,10180,12,female_male,155.11893768870337,383,66
1996,goa,10200,0,total_pre,124.40773044594266,370,77
1996,goa,10200,1,male,61.649502828794404,158,43
1996,goa,10200,2,female,86.35039131649295,212,59
