year,species_code,sex,sex_desc,length,iss,nss,nhl
1990,10130,1,male,29,2.38249973546651,3,3
1990,10130,1,male,30,3.3997890501673,4,3
1990,10130,1,male,31,3.848726822528474,7,4
1990,10130,1,male,32,2.5992170924412,5,5
1990,10130,1,male,33,3.5874699651745114,7,6
1990,10130,1,male,34,3.3091129966981314,5,4
1990,10130,1,male,35,3.7105219211796268,6,5
1990,10130,1,male,36,3.7911049599456903,5,5
1990,10130,1,male,37,2.196314501079392,3,3
1990,10130,1,male,38,2.4605044927693283,4,2
1990,10130,1,male,39,1.786179851231791,3,2
1990,10130,1,male,40,1.7348879760745903,2,2
1990,10130,1,male,42,1.1029728565273589,1,1
1990,10130,1,male,47,1.0269758554586765,1,1
1990,10130,2,female,12,1.3077201884740848,1,1
1990,10130,2,female,13,1.5812998308770234,1,1
1990,10130,2,female,14,3.1580456904337617,2,2
1990,10130,2,female,16,2.0860365432595227,2,2
1990,10130,2,female,17,1.906863890119955,2,2
1990,10130,2,female,18,3.6329528121950005,4,3
1990,10130,2,female,20,2.5528397459595373,4,4
1990,10130,2,female,21,3.8108781266614216,4,3
1990,10130,2,female,22,3.0214954836295727,4,3
1990,10130,2,female,23,3.2811722037737185,4,3
1990,10130,2,female,24,3.092234199753501,3,3
1990,10130,2,female,25,2.7341597588407565,5,4
1990,10130,2,female,26,2.5638397211923545,3,3
1990,10130,2,female,27,2.6821039612196538,3,3
1990,10130,2,female,28,2.605611523576628,3,3
1990,10130,2,female,29,3.272274750008657,6,4
1990,10130,2,female,30,2.9964499635240247,4,3
1990,10130,2,female,31,3.6924425770907057,6,4
1990,10130,2,female,32,2.8468447304659468,5,4
1990,10130,2,female,33,4.191618364544012,8,6
1990,10130,2,female,34,2.978035309588417,5,4
1990,10130,2,female,35,2.8869759359254874,3,2
1990,10130,2,female,36,2.4162725074423905,4,4
1990,10130,2,female,37,2.5847099745589155,4,3
1990,10130,2,female,38,3.880484771945447,7,5
1990,10130,2,female,39,2.997090564447508,4,3
1990,10130,2,female,40,2.8704045822935487,4,4
1990,10130,2,female,41,1.6005218157091552,4,2
1990,10130,2,female,42,3.3641827310173062,6,5
1990,10130,2,female,43,2.290534936184997,4,2
1990,10130,2,female,44,1.7213590040354008,3,3
1990,10130,2,female,45,3.1329016363628313,5,5
1990,10130,2,female,46,2.9866648877794177,4,3
1990,10130,2,female,47,2.5788761210823545,3,2
